,OPC1,GLSA,GLSA.RANK,NECI,NECI.RANK,NEFU,NEFU.RANK,FOREST,names,OMDS2,DMDS1,OMDS1,,,,,,,
Beehave 1,-1.048323339,16.3,HIGH,0,NONE,0,NONE,SIUSLAW,Beehave,-0.038564467,-0.236628384,-0.083395954,,,,,,,
Beehave 2,0.186834245,16.3,HIGH,0,NONE,0,NONE,SIUSLAW,Beehave,-0.001988249,-0.181874718,-0.066425145,,,,,,,
Beehave 3,-4.227080867,16.3,HIGH,0,NONE,0,NONE,SIUSLAW,Beehave,-0.128681297,-0.548446869,-0.085287829,,,,,,,
Beehave 4,-4.305768743,16.3,HIGH,0,NONE,0,NONE,SIUSLAW,Beehave,-0.128681007,0.201551552,-0.093463173,,,,,,,
Beehave 5,-6.141408792,16.3,HIGH,0,NONE,0,NONE,SIUSLAW,Beehave,-0.175296662,0.556295215,-0.214237903,,,,,,,
Beehave 6,-0.61327742,16.3,HIGH,0,NONE,0,NONE,SIUSLAW,Beehave,-0.025624413,-0.093820412,-0.084178505,,,,,,,
Beehave 7,2.427507739,16.3,HIGH,0,NONE,0,NONE,SIUSLAW,Beehave,0.067465995,0.066492979,0.039008504,,,,,,,
Beehave 8,0.500241543,16.3,HIGH,0,NONE,0,NONE,SIUSLAW,Beehave,0.007955166,0.116722182,0.040083084,,,,,,,
Beehave 9,-2.297766959,16.3,HIGH,0,NONE,0,NONE,SIUSLAW,Beehave,-0.071930403,-0.318476599,-0.140689945,,,,,,,
Bonanza 1,0.880810127,1,LOW,0.5,LOW,0,NONE,SIUSLAW,Bonanza,0.020001589,0.103912708,-0.102819266,,,,,,,
Bonanza 2,-2.059857508,1,LOW,0.5,LOW,0,NONE,SIUSLAW,Bonanza,-0.067454948,0.327898313,0.10684942,,,,,,,
Bonanza 3,-4.447219218,1,LOW,0.5,LOW,0,NONE,SIUSLAW,Bonanza,-0.129188373,0.418092886,-0.189422151,,,,,,,
Bonanza 4,-5.931550074,1,LOW,0.5,LOW,0,NONE,SIUSLAW,Bonanza,-0.171551095,0.044339604,-0.209879477,,,,,,,
Bonanza 5,-0.399947806,1,LOW,0.5,LOW,0,NONE,SIUSLAW,Bonanza,-0.019014199,0.009102226,-0.119467518,,,,,,,
Bonanza 6,-0.652891255,1,LOW,0.5,LOW,0,NONE,SIUSLAW,Bonanza,-0.025866084,0.224619295,-0.067223461,,,,,,,
Bonanza 7,-3.083292145,1,LOW,0.5,LOW,0,NONE,SIUSLAW,Bonanza,-0.095980597,0.002402462,-0.05365643,,,,,,,
Bonanza 8,3.620747649,1,LOW,0.5,LOW,0,NONE,SIUSLAW,Bonanza,0.106994214,0.358618343,0.022379395,,,,,,,
Bonanza 9,-2.211112333,1,LOW,0.5,LOW,0,NONE,SIUSLAW,Bonanza,-0.070180467,0.047202762,-0.128589877,,,,,,,
Bull Gap 1,-1.25252932,11,MID,0.67,LOW,0,NONE,SIUSLAW,Bull,-0.043975385,-0.30206214,-0.067187607,,,,,,,
Bull Gap 2,2.633301116,11,MID,0.67,LOW,0,NONE,SIUSLAW,Bull,0.074584484,0.240759659,0.032018925,,,,,,,
Bull Gap 3,2.651225377,11,MID,0.67,LOW,0,NONE,SIUSLAW,Bull,0.075534102,0.304049878,-0.001638889,,,,,,,
Bull Gap 4,2.14918123,11,MID,0.67,LOW,0,NONE,SIUSLAW,Bull,0.055281892,-0.510964812,0.085472316,,,,,,,
Bull Gap 5,0.930406228,11,MID,0.67,LOW,0,NONE,SIUSLAW,Bull,0.02062063,0.03250466,0.194314623,,,,,,,
Bull Gap 6,1.300932856,11,MID,0.67,LOW,0,NONE,SIUSLAW,Bull,0.031438703,-0.32352089,-0.042497365,,,,,,,
Bull Gap 7,0.351997894,11,MID,0.67,LOW,0,NONE,SIUSLAW,Bull,0.004412126,0.63057509,-0.142890251,,,,,,,
Bull Gap 8,-6.217484073,11,MID,0.67,LOW,0,NONE,SIUSLAW,Bull,-0.179806638,-0.251440387,-0.02536126,,,,,,,
Bull Gap 9,2.762059052,11,MID,0.67,LOW,0,NONE,SIUSLAW,Bull,0.07854593,0.455351601,0.114945844,,,,,,,
Buzzard Creek 1,4.821425893,15,HIGH,0.67,LOW,0,NONE,SIUSLAW,Buzzard,0.143276331,-0.626361726,0.343347322,,,,,,,
Buzzard Creek 2,3.975745373,15,HIGH,0.67,LOW,0,NONE,SIUSLAW,Buzzard,0.120398295,0.059148602,0.039527856,,,,,,,
Buzzard Creek 3,3.746273402,15,HIGH,0.67,LOW,0,NONE,SIUSLAW,Buzzard,0.108391756,0.069850069,0.015385224,,,,,,,
Buzzard Creek 4,1.56732398,15,HIGH,0.67,LOW,0,NONE,SIUSLAW,Buzzard,0.03756854,-0.396504402,0.060385994,,,,,,,
Buzzard Creek 5,3.97639885,15,HIGH,0.67,LOW,0,NONE,SIUSLAW,Buzzard,0.121262768,0.28323884,0.077916667,,,,,,,
Buzzard Creek 6,0.881184402,15,HIGH,0.67,LOW,0,NONE,SIUSLAW,Buzzard,0.019125163,-0.363513304,0.057974463,,,,,,,
Buzzard Creek 7,3.639361524,15,HIGH,0.67,LOW,0,NONE,SIUSLAW,Buzzard,0.106840819,0.057957189,0.028769119,,,,,,,
Buzzard Creek 8,8.047265404,15,HIGH,0.67,LOW,0,NONE,SIUSLAW,Buzzard,0.270054319,-0.368886763,0.050073873,,,,,,,
Buzzard Creek 9,0.051978566,15,HIGH,0.67,LOW,0,NONE,SIUSLAW,Buzzard,-0.00829511,-0.550678872,-0.036970561,,,,,,,
Chintiminy 1,-6.576591902,3.3,LOW,1,LOW,0,NONE,SIUSLAW,Chintiminy,-0.188708908,0.761242962,-0.251482205,,,,,,,
Chintiminy 2,-10.83634963,3.3,LOW,1,LOW,0,NONE,SIUSLAW,Chintiminy,-0.290971154,0.836100916,-0.271805765,,,,,,,
Chintiminy 3,-10.7734749,3.3,LOW,1,LOW,0,NONE,SIUSLAW,Chintiminy,-0.288737935,0.801744393,-0.304466208,,,,,,,
Chintiminy 4,-12.60326452,3.3,LOW,1,LOW,0,NONE,SIUSLAW,Chintiminy,-0.329089532,0.591056406,-0.315016191,,,,,,,
Chintiminy 5,-9.779956176,3.3,LOW,1,LOW,0,NONE,SIUSLAW,Chintiminy,-0.265267813,0.60144581,-0.288375295,,,,,,,
Chintiminy 6,-6.651021787,3.3,LOW,1,LOW,0,NONE,SIUSLAW,Chintiminy,-0.190571193,0.066652097,0.00928093,,,,,,,
Chintiminy 7,1.124835723,3.3,LOW,1,LOW,0,NONE,SIUSLAW,Chintiminy,0.027806318,0.381015888,-0.114387428,,,,,,,
Chintiminy 8,-0.328667931,3.3,LOW,1,LOW,0,NONE,SIUSLAW,Chintiminy,-0.018452915,0.059580668,0.002361401,,,,,,,
Chintiminy 9,-7.525412686,3.3,LOW,1,LOW,0,NONE,SIUSLAW,Chintiminy,-0.211832795,0.461672051,-0.205637436,,,,,,,
East Ashland 1,-3.161388165,18.3,HIGH,1,LOW,0,NONE,SIUSLAW,East,-0.098667279,-0.060836193,-0.056691035,,,,,,,
East Ashland 2,-0.665877382,18.3,HIGH,1,LOW,0,NONE,SIUSLAW,East,-0.029223954,-0.294608276,0.019550486,,,,,,,
East Ashland 3,-2.76730166,18.3,HIGH,1,LOW,0,NONE,SIUSLAW,East,-0.086059125,0.26728392,-0.161494538,,,,,,,
East Ashland 4,3.629395426,18.3,HIGH,1,LOW,0,NONE,SIUSLAW,East,0.108635747,0.252472737,-0.066575043,,,,,,,
East Ashland 5,0.666366965,18.3,HIGH,1,LOW,0,NONE,SIUSLAW,East,0.012606011,-0.573345327,0.053778288,,,,,,,
East Ashland 6,0.489499744,18.3,HIGH,1,LOW,0,NONE,SIUSLAW,East,0.005200204,-0.006131937,0.032067759,,,,,,,
East Ashland 7,4.847878926,18.3,HIGH,1,LOW,0,NONE,SIUSLAW,East,0.150894916,0.314370138,0.1209175,,,,,,,
East Ashland 8,3.213093357,18.3,HIGH,1,LOW,0,NONE,SIUSLAW,East,0.093518148,0.713635327,-0.027787449,,,,,,,
East Ashland 9,1.449262911,18.3,HIGH,1,LOW,0,NONE,SIUSLAW,East,0.037845791,0.703980538,-0.066610259,,,,,,,
Easy Tiger 1,-5.668172434,10,MID,2.3,MID,0,NONE,SIUSLAW,Easy,-0.165937635,0.051374547,0.025324648,,,,,,,
Easy Tiger 2,-0.574469752,10,MID,2.3,MID,0,NONE,SIUSLAW,Easy,-0.023972393,-0.141521681,0.020936531,,,,,,,
Easy Tiger 3,0.634409432,10,MID,2.3,MID,0,NONE,SIUSLAW,Easy,0.009100093,0.086954762,0.078880058,,,,,,,
Easy Tiger 4,0.191661254,10,MID,2.3,MID,0,NONE,SIUSLAW,Easy,-0.007195075,-0.010345653,0.084638979,,,,,,,
Easy Tiger 5,-7.129845643,10,MID,2.3,MID,0,NONE,SIUSLAW,Easy,-0.202307891,0.256566693,-0.10923469,,,,,,,
Easy Tiger 6,-11.38745333,10,MID,2.3,MID,0,NONE,SIUSLAW,Easy,-0.303081663,0.214161578,-0.254065012,,,,,,,
Easy Tiger 7,-6.772167048,10,MID,2.3,MID,0,NONE,SIUSLAW,Easy,-0.193355308,-0.063695797,-0.188831575,,,,,,,
Easy Tiger 8,-6.102588806,10,MID,2.3,MID,0,NONE,SIUSLAW,Easy,-0.175879342,-0.091081212,-0.053980562,,,,,,,
Easy Tiger 9,-2.432812599,10,MID,2.3,MID,0,NONE,SIUSLAW,Easy,-0.077864519,0.292892548,-0.118554394,,,,,,,
Erikson Creek 1,-6.089136582,7.7,LOW,1.3,LOW,0,NONE,SIUSLAW,Erikson,-0.175673393,0.009790263,-0.149516798,,,,,,,
Erikson Creek 2,1.895795526,7.7,LOW,1.3,LOW,0,NONE,SIUSLAW,Erikson,0.053535322,-0.490598486,-0.087059718,,,,,,,
Erikson Creek 3,0.829053207,7.7,LOW,1.3,LOW,0,NONE,SIUSLAW,Erikson,0.017548059,-0.170025435,0.004312911,,,,,,,
Erikson Creek 4,3.145064034,7.7,LOW,1.3,LOW,0,NONE,SIUSLAW,Erikson,0.077371831,0.091968623,0.206910238,,,,,,,
Erikson Creek 5,1.0849866,7.7,LOW,1.3,LOW,0,NONE,SIUSLAW,Erikson,0.026073587,-0.305589194,-0.024073492,,,,,,,
Erikson Creek 6,6.44998065,7.7,LOW,1.3,LOW,0,NONE,SIUSLAW,Erikson,0.19638098,0.130793996,-0.031151383,,,,,,,
Erikson Creek 7,7.674994644,7.7,LOW,1.3,LOW,0,NONE,SIUSLAW,Erikson,0.25775845,0.941715113,0.278230389,,,,,,,
Erikson Creek 8,0.35017502,7.7,LOW,1.3,LOW,0,NONE,SIUSLAW,Erikson,0.000415891,0.154700384,-0.021863577,,,,,,,
Erikson Creek 9,1.730152967,7.7,LOW,1.3,LOW,0,NONE,SIUSLAW,Erikson,0.045400145,0.433868127,0.076020808,,,,,,,
Farmer Easy 1,-3.194103505,11.33333333,MID,3.33,MID,0,NONE,ASHLAND,Farmer,-0.099531471,-0.168719163,-0.064421707,,,,,,,
Farmer Easy 2,-0.376980987,11.33333333,MID,3.33,MID,0,NONE,ASHLAND,Farmer,-0.020579171,-0.363466761,0.14478815,,,,,,,
Farmer Easy 3,-5.387517936,11.33333333,MID,3.33,MID,0,NONE,ASHLAND,Farmer,-0.158968221,-0.35043088,-0.01513531,,,,,,,
Farmer Easy 4,5.190967547,11.33333333,MID,3.33,MID,0,NONE,ASHLAND,Farmer,0.161411777,0.679430853,0.113530882,,,,,,,
Farmer Easy 5,0.506678235,11.33333333,MID,3.33,MID,0,NONE,ASHLAND,Farmer,0.009268078,-0.164912738,-0.027377153,,,,,,,
Farmer Easy 6,-4.272613005,11.33333333,MID,3.33,MID,0,NONE,ASHLAND,Farmer,-0.128553648,-0.074112198,-0.103505196,,,,,,,
