"","D47","D46","D45","D44","D43","D42","D41","D40","D39","D38"
"Beehave 1",16.026,16.276,16.796,16.866,17.17,17.237,17.047,17.624,17.748,17.525
"Beehave 2",15.456,14.993,15.081,15.53,16.265,16.449,16.222,16.291,16.5,16.862
"Beehave 3",24.043,24.064,24.24,23.852,23.704,23.45,23.412,23.482,23.423,22.951
"Beehave 4",8.7445,9.2676,9.3181,10.055,10.345,10.464,10.836,11.248,11.238,11.053
"Beehave 5",6.645,6.5082,6.6134,6.5307,6.5435,6.5518,6.6489,6.7446,6.5941,6.5599
"Beehave 6",13.478,13.633,13.464,13.163,12.726,13.347,13.241,13.023,13.68,13.447
"Beehave 7",11.642,11.745,12.054,11.874,11.588,11.799,12.501,12.419,12.423,11.994
"Beehave 8",11.016,10.298,10.353,10.292,10.43,10.541,10.703,10.67,10.507,11.333
"Beehave 9",17.903,17.935,18.43,19.424,19.389,19.242,19.985,20.226,20.648,20.569
"Bonanza 1",11.222,11.713,11.378,11.527,11.407,11.653,11.315,11.098,10.923,11.622
"Bonanza 2",8.0339,8.1493,8.4335,8.337,8.5492,8.2878,8.2581,8.2133,8.43,8.6921
"Bonanza 3",7.2942,7.1874,7.4216,7.6761,7.3029,7.2893,7.7144,7.6628,7.6639,7.731
"Bonanza 4",11.913,12.126,11.524,11.634,11.118,11.366,11.25,10.933,10.325,9.9538
"Bonanza 5",13.008,12.814,12.409,12.336,12.159,11.442,11.126,10.934,10.486,10.623
"Bonanza 6",10.02,10.715,9.8398,9.6073,9.3662,9.1992,8.9964,8.835,9.4283,9.7615
"Bonanza 7",13.501,12.661,12.304,11.201,11.332,10.37,10.955,11.206,10.734,10.347
"Bonanza 8",8.1799,7.7448,8.0222,8.4257,8.3105,9.1628,9.6181,9.5139,9.946,9.6581
"Bonanza 9",12.484,12.573,12.707,12.644,12.239,12.074,11.998,11.859,11.587,11.329
"Bull Gap 1",17.582,17.517,17.647,17.728,17.979,17.828,16.982,17.678,17.618,18.085
"Bull Gap 2",9.7959,9.7328,9.6793,9.0035,8.2517,7.6758,7.3034,6.8375,6.6961,6.6563
"Bull Gap 3",9.063,9.0754,9.1622,9.2657,9.185,9.1904,9.1327,9.5901,9.5452,9.5727
"Bull Gap 4",22.554,22.142,21.879,22.494,22.908,21.982,21.551,21.312,21.566,21.298
"Bull Gap 5",13.278,12.594,12.099,11.815,11.633,11.171,10.906,10.718,10.591,10.623
"Bull Gap 6",18.32,17.535,17.069,17.288,17.172,15.875,15.099,14.881,15.734,15.125
"Bull Gap 7",5.4362,5.5064,5.9695,6.3472,6.7034,6.9415,7.1026,7.5977,7.3641,6.7547
