,O100,O99,O98,O97,O96,O95,O94,O93,O92,O91,O90,O89,O88,O87,O86,O85,O84,O83,O82,O81,O80,O79,O78,O77,O76,O75,O74,O73,O72,O71,O70,O69,O68,O67,O66,O65,O64,O63,O62,O61,O60,O59,O58,O57,O56,O55,O54,O53,O52,O51,O50,O49,O48,O47,O46,O45,O44,O43,O42,O41,O40,O39,O38,O37,O36,O35,O34,O33,O32,O31,O30,O29,O28,O27,O26,O25,O24,O23,O22,O21,O20,O19,O18,O17,O16,O15,O14,O13,O12,O11,O10,O9,O8,O7,O6,O5,O4,O3,O2,O1
Beehave 1,0.098136,0.33465,0.43582,0.53397,0.59845,0.58266,0.67469,0.71738,0.74041,0.73548,0.6958,0.70125,0.67239,0.67982,0.70879,0.68034,0.69414,0.66486,0.64208,0.60341,0.54659,0.53858,0.50125,0.52803,0.53221,0.55259,0.56528,0.56279,0.5557,0.58426,0.59439,0.61859,0.60761,0.61162,0.59183,0.59739,0.59117,0.56174,0.55382,0.57952,0.60713,0.59639,0.59038,0.59037,0.57819,0.59859,0.61475,0.60399,0.59537,0.59983,0.59587,0.59401,0.60875,0.60952,0.6191,0.61942,0.63004,0.61982,0.6187,0.61569,0.62654,0.62287,0.60742,0.61663,0.61447,0.59546,0.60214,0.59409,0.60274,0.60495,0.60302,0.60694,0.6021,0.59031,0.57363,0.5705,0.55941,0.52555,0.4896,0.47065,0.45738,0.42902,0.40352,0.39082,0.3744,0.36425,0.33131,0.31455,0.3171,0.30093,0.2861,0.28193,0.26714,0.2536,0.23526,0.2427,0.23572,0.21956,0.19025,0.15336
Beehave 2,0.41647,0.35921,0.31761,0.29975,0.28284,0.39016,0.59578,0.58008,0.63935,0.65741,0.62655,0.59859,0.59574,0.59948,0.60413,0.56752,0.56264,0.5632,0.55492,0.5419,0.54164,0.54955,0.55541,0.56204,0.549,0.55162,0.56504,0.57021,0.54657,0.53984,0.56211,0.56628,0.55643,0.55665,0.55032,0.57325,0.59379,0.57896,0.53817,0.5268,0.56826,0.56717,0.56698,0.56353,0.55412,0.56689,0.56576,0.58807,0.59548,0.60631,0.59341,0.58847,0.55482,0.57195,0.56153,0.57493,0.58049,0.60076,0.58977,0.59335,0.59191,0.58506,0.62628,0.6203,0.63077,0.61993,0.61617,0.61848,0.63341,0.63846,0.63659,0.64683,0.63639,0.65585,0.66699,0.66937,0.66814,0.65583,0.64644,0.63434,0.625,0.62159,0.63606,0.61404,0.5868,0.56723,0.53464,0.50896,0.49077,0.46766,0.43597,0.42133,0.41066,0.39774,0.37227,0.35481,0.34967,0.33013,0.30725,0.29503
Beehave 3,0.41123,0.50951,0.56196,0.51622,0.56787,0.55346,0.56647,0.6096,0.64352,0.62985,0.68462,0.6891,0.69992,0.66282,0.67886,0.64027,0.62351,0.62855,0.62328,0.6382,0.64243,0.68661,0.71091,0.68057,0.66661,0.71486,0.73242,0.7656,0.76316,0.76868,0.78282,0.77734,0.7405,0.70531,0.67417,0.64466,0.66709,0.67932,0.69087,0.69133,0.69101,0.6885,0.6732,0.6679,0.65955,0.6519,0.64322,0.63735,0.62119,0.6196,0.61903,0.60205,0.59751,0.58595,0.5926,0.60498,0.61168,0.62061,0.61694,0.61899,0.61975,0.63202,0.62663,0.62837,0.6186,0.61858,0.61842,0.61285,0.60743,0.58663,0.54062,0.50373,0.49655,0.48879,0.48214,0.47698,0.46127,0.44007,0.42721,0.421,0.4151,0.40636,0.42045,0.41635,0.38931,0.38203,0.38099,0.36442,0.3617,0.35672,0.35159,0.33407,0.31953,0.32573,0.32335,0.31598,0.3047,0.2807,0.25396,0
Beehave 4,0.85857,0.6657,0.53284,0.55353,0.53801,0.58512,0.58909,0.61271,0.60311,0.59708,0.5791,0.54792,0.5345,0.59721,0.56367,0.57961,0.56083,0.5958,0.5877,0.60713,0.62767,0.62242,0.63095,0.61828,0.59791,0.62267,0.61959,0.62991,0.63265,0.61449,0.62698,0.6062,0.609,0.60291,0.6071,0.60621,0.60695,0.60493,0.63883,0.64805,0.64947,0.64163,0.65375,0.67431,0.67284,0.66618,0.67731,0.68676,0.67577,0.68044,0.66508,0.65892,0.67156,0.63149,0.61734,0.63581,0.6269,0.62117,0.60733,0.60778,0.60927,0.61122,0.62547,0.60767,0.61014,0.59875,0.60313,0.59938,0.59033,0.58822,0.57789,0.56781,0.58742,0.60285,0.60535,0.59972,0.59438,0.58463,0.59434,0.60527,0.60082,0.61283,0.61968,0.62311,0.62953,0.58603,0.55708,0.53927,0.5013,0.47746,0.47297,0.46223,0.44619,0.43298,0.41312,0.40686,0.37013,0.35935,0.36248,0
Beehave 5,0.42348,0.49781,0.55238,0.54961,0.5456,0.59771,0.57818,0.56628,0.61554,0.59855,0.59097,0.53937,0.52269,0.56105,0.54825,0.5385,0.55348,0.55434,0.53378,0.55202,0.56119,0.57124,0.56994,0.58588,0.56201,0.55913,0.57514,0.61428,0.60837,0.62701,0.61917,0.62909,0.6553,0.66097,0.63912,0.65453,0.65738,0.66659,0.6605,0.66642,0.66488,0.6616,0.66173,0.67531,0.6898,0.705,0.7141,0.71174,0.70456,0.72365,0.71601,0.71098,0.70904,0.6941,0.69875,0.71299,0.71709,0.70463,0.68078,0.70116,0.7068,0.69264,0.69548,0.69011,0.68236,0.69277,0.69641,0.68486,0.70082,0.7031,0.71375,0.71997,0.70719,0.69219,0.65225,0.64285,0.6126,0.59974,0.57489,0.55659,0.5576,0.54632,0.54213,0.53673,0.54391,0.53836,0.51941,0.50086,0.46573,0.43922,0.42387,0.42074,0.42157,0.40942,0.40532,0.40605,0.41251,0.40276,0.38136,0.37596
Beehave 6,0.99995,0.86001,0.83009,0.88948,0.86483,0.86021,0.82268,0.77869,0.7651,0.78377,0.78206,0.79326,0.79647,0.76811,0.71845,0.68367,0.64966,0.63559,0.63109,0.63618,0.63911,0.60785,0.6181,0.62285,0.64479,0.6444,0.62717,0.63433,0.63407,0.63863,0.60697,0.63337,0.61242,0.61391,0.63262,0.59471,0.59405,0.58057,0.56143,0.55961,0.55696,0.54817,0.55788,0.58212,0.58455,0.59811,0.59494,0.59789,0.58775,0.58329,0.59534,0.59432,0.60068,0.60417,0.62875,0.62652,0.61347,0.62263,0.64107,0.62699,0.62251,0.61908,0.61409,0.61258,0.61305,0.61318,0.60804,0.6041,0.59436,0.56806,0.55431,0.52419,0.52119,0.49731,0.47869,0.48116,0.4565,0.43702,0.44574,0.43768,0.40341,0.39341,0.38357,0.37611,0.37015,0.34844,0.33534,0.31713,0.28182,0.27548,0.27064,0.26049,0.25152,0.19913,0.16447,0.14804,0.13378,0.11155,0.078377,0.086301
Beehave 7,0.27019,0.41773,0.53671,0.51016,0.55332,0.63522,0.68859,0.644,0.60579,0.59499,0.63831,0.50915,0.49472,0.4842,0.51606,0.51797,0.5442,0.53514,0.53267,0.52418,0.47869,0.45969,0.51912,0.53901,0.54309,0.53834,0.51724,0.47918,0.50838,0.49151,0.4939,0.51359,0.52776,0.51647,0.51728,0.53161,0.53135,0.52691,0.51055,0.52202,0.53731,0.54716,0.52307,0.54899,0.56006,0.54479,0.5397,0.55149,0.53718,0.51259,0.522,0.50601,0.51873,0.51153,0.5261,0.51415,0.51797,0.52007,0.53743,0.53911,0.53627,0.54362,0.53167,0.53388,0.54893,0.54684,0.55658,0.57346,0.56849,0.57183,0.5654,0.55817,0.56157,0.55135,0.54677,0.5409,0.53519,0.55086,0.55134,0.54207,0.54262,0.57031,0.5665,0.56133,0.56623,0.57175,0.56939,0.5719,0.55856,0.53423,0.47739,0.44725,0.43249,0.41089,0.38319,0.38471,0.36923,0.36048,0.3654,0.33933
Beehave 8,0.76252,0.45718,0.52911,0.52385,0.64556,0.71049,0.72452,0.68673,0.71016,0.70866,0.6093,0.55731,0.54235,0.55459,0.53784,0.53046,0.56401,0.5788,0.58028,0.54604,0.54391,0.55259,0.52103,0.51969,0.54615,0.5387,0.55098,0.57238,0.53284,0.52243,0.50206,0.51012,0.52193,0.53817,0.52019,0.52856,0.55288,0.54754,0.57115,0.56016,0.56106,0.58299,0.56421,0.56421,0.571,0.58876,0.57648,0.55111,0.58123,0.59179,0.58512,0.56991,0.5556,0.56486,0.53672,0.51172,0.51606,0.54006,0.54851,0.503,0.53186,0.53805,0.53796,0.52865,0.52586,0.50741,0.53832,0.54329,0.53443,0.55651,0.5417,0.56351,0.58758,0.577,0.57367,0.55683,0.55415,0.58041,0.59244,0.55879,0.55159,0.50776,0.48431,0.46305,0.46292,0.43532,0.43514,0.43281,0.42103,0.42838,0.41791,0.40487,0.37001,0.35999,0.35684,0.37032,0.36035,0.35082,0.34958,0.33751
Beehave 9,0.63917,0.7496,0.69738,0.64753,0.65202,0.71756,0.72933,0.67454,0.67308,0.6316,0.61211,0.62192,0.61467,0.5795,0.57689,0.56752,0.58749,0.61722,0.59672,0.57095,0.595,0.61608,0.60081,0.6087,0.57577,0.58305,0.59764,0.60358,0.60933,0.59113,0.58652,0.57291,0.54169,0.5716,0.56381,0.58831,0.5825,0.5978,0.60507,0.60869,0.59675,0.59318,0.58231,0.58148,0.62192,0.61862,0.6435,0.64561,0.64086,0.63117,0.63402,0.63804,0.66537,0.66333,0.66051,0.6324,0.63483,0.64197,0.64634,0.65049,0.65302,0.65777,0.65382,0.64971,0.63931,0.65138,0.65723,0.65147,0.64651,0.64814,0.65524,0.65785,0.6671,0.65375,0.63039,0.60844,0.58587,0.54134,0.53607,0.51813,0.50118,0.48451,0.44806,0.43347,0.40889,0.3783,0.358,0.34464,0.34003,0.33206,0.31902,0.30438,0.29178,0.27872,0.27332,0.26316,0.25326,0.25063,0.2416,0.21616
Bonanza 1,0.35654,0.33581,0.39736,0.42077,0.43384,0.52541,0.50018,0.50728,0.50154,0.5546,0.5512,0.54346,0.57092,0.53578,0.50071,0.49601,0.50331,0.51739,0.5146,0.54597,0.52719,0.55534,0.52674,0.52108,0.52473,0.52141,0.53943,0.53598,0.54384,0.53372,0.5476,0.50529,0.50482,0.53154,0.53643,0.52531,0.52722,0.50433,0.54043,0.55885,0.53784,0.51412,0.54228,0.53858,0.56395,0.57464,0.58404,0.59124,0.56952,0.57406,0.59739,0.59377,0.58818,0.59124,0.58997,0.59221,0.62733,0.6081,0.60127,0.60213,0.62216,0.63079,0.6444,0.63508,0.6461,0.65993,0.65956,0.66545,0.64932,0.65166,0.64982,0.64177,0.63873,0.64017,0.68513,0.6595,0.63263,0.64662,0.62811,0.61583,0.61696,0.60977,0.6123,0.59045,0.57379,0.55727,0.53814,0.53576,0.50112,0.463,0.43425,0.43166,0.38461,0.34714,0.29492,0.24824,0.23159,0.19872,0.16564,0.13564
