,GLSA,GLSA RANK,NECI,NECI RANK,NEFU,NEFU RANK,FOREST,,,,,
Beehave 1,11.33333333,MID,3.33,MID,0,NONE,ASHLAND,,,,,
Beehave 2,11.33333333,MID,3.33,MID,0,NONE,ASHLAND,,,,,
Beehave 3,11.33333333,MID,3.33,MID,0,NONE,ASHLAND,,,,,
Beehave 4,11.33333333,MID,3.33,MID,0,NONE,ASHLAND,,,,,
Beehave 5,11.33333333,MID,3.33,MID,0,NONE,ASHLAND,,,,,
Beehave 6,11.33333333,MID,3.33,MID,0,NONE,ASHLAND,,,,,
Beehave 7,11.33333333,MID,3.33,MID,0,NONE,ASHLAND,,,,,
Beehave 8,11.33333333,MID,3.33,MID,0,NONE,ASHLAND,,,,,
Beehave 9,11.33333333,MID,3.33,MID,0,NONE,ASHLAND,,,,,
Bonanza 1,16.66666667,HIGH,2.7,MID,0.7,LOW,TILLER,,,,,
Bonanza 2,16.66666667,HIGH,2.7,MID,0.7,LOW,TILLER,,,,,
Bonanza 3,16.66666667,HIGH,2.7,MID,0.7,LOW,TILLER,,,,,
Bonanza 4,16.66666667,HIGH,2.7,MID,0.7,LOW,TILLER,,,,,
Bonanza 5,16.66666667,HIGH,2.7,MID,0.7,LOW,TILLER,,,,,
Bonanza 6,16.66666667,HIGH,2.7,MID,0.7,LOW,TILLER,,,,,
Bonanza 7,16.66666667,HIGH,2.7,MID,0.7,LOW,TILLER,,,,,
Bonanza 8,16.66666667,HIGH,2.7,MID,0.7,LOW,TILLER,,,,,
Bonanza 9,16.66666667,HIGH,2.7,MID,0.7,LOW,TILLER,,,,,
Bull Gap 1,23,VHIGH,8,HIGH,0,NONE,ASHLAND,,,,,
Bull Gap 2,23,VHIGH,8,HIGH,0,NONE,ASHLAND,,,,,
Bull Gap 3,23,VHIGH,8,HIGH,0,NONE,ASHLAND,,,,,
Bull Gap 4,23,VHIGH,8,HIGH,0,NONE,ASHLAND,,,,,
Bull Gap 5,23,VHIGH,8,HIGH,0,NONE,ASHLAND,,,,,
Bull Gap 6,23,VHIGH,8,HIGH,0,NONE,ASHLAND,,,,,
Bull Gap 7,23,VHIGH,8,HIGH,0,NONE,ASHLAND,,,,,
Bull Gap 8,23,VHIGH,8,HIGH,0,NONE,ASHLAND,,,,,
Bull Gap 9,23,VHIGH,8,HIGH,0,NONE,ASHLAND,,,,,
Buzzard Creek 1,3.3,LOW,1,LOW,0,NONE,SIUSLAW,,,,,
Buzzard Creek 2,3.3,LOW,1,LOW,0,NONE,SIUSLAW,,,,,
Buzzard Creek 3,3.3,LOW,1,LOW,0,NONE,SIUSLAW,,,,,
Buzzard Creek 4,3.3,LOW,1,LOW,0,NONE,SIUSLAW,,,,,
Buzzard Creek 5,3.3,LOW,1,LOW,0,NONE,SIUSLAW,,,,,
Buzzard Creek 6,3.3,LOW,1,LOW,0,NONE,SIUSLAW,,,,,
Buzzard Creek 7,3.3,LOW,1,LOW,0,NONE,SIUSLAW,,,,,
Buzzard Creek 8,3.3,LOW,1,LOW,0,NONE,SIUSLAW,,,,,
Buzzard Creek 9,3.3,LOW,1,LOW,0,NONE,SIUSLAW,,,,,
Chintiminy 1,11,MID,0.67,LOW,0,NONE,SIUSLAW,,,,,
Chintiminy 2,11,MID,0.67,LOW,0,NONE,SIUSLAW,,,,,
Chintiminy 3,11,MID,0.67,LOW,0,NONE,SIUSLAW,,,,,
Chintiminy 4,11,MID,0.67,LOW,0,NONE,SIUSLAW,,,,,
Chintiminy 5,11,MID,0.67,LOW,0,NONE,SIUSLAW,,,,,
Chintiminy 6,11,MID,0.67,LOW,0,NONE,SIUSLAW,,,,,
Chintiminy 7,11,MID,0.67,LOW,0,NONE,SIUSLAW,,,,,
Chintiminy 8,11,MID,0.67,LOW,0,NONE,SIUSLAW,,,,,
Chintiminy 9,11,MID,0.67,LOW,0,NONE,SIUSLAW,,,,,
East Ashland 1,26,VHIGH,6,HIGH,0,NONE,ASHLAND,,,,,
East Ashland 2,26,VHIGH,6,HIGH,0,NONE,ASHLAND,,,,,
East Ashland 3,26,VHIGH,6,HIGH,0,NONE,ASHLAND,,,,,
East Ashland 4,26,VHIGH,6,HIGH,0,NONE,ASHLAND,,,,,
East Ashland 5,26,VHIGH,6,HIGH,0,NONE,ASHLAND,,,,,
East Ashland 6,26,VHIGH,6,HIGH,0,NONE,ASHLAND,,,,,
East Ashland 7,26,VHIGH,6,HIGH,0,NONE,ASHLAND,,,,,
East Ashland 8,26,VHIGH,6,HIGH,0,NONE,ASHLAND,,,,,
East Ashland 9,26,VHIGH,6,HIGH,0,NONE,ASHLAND,,,,,
Erikson Creek 1,7.7,LOW,1.3,LOW,0,NONE,SIUSLAW,,,,,
Erikson Creek 2,7.7,LOW,1.3,LOW,0,NONE,SIUSLAW,,,,,
Erikson Creek 3,7.7,LOW,1.3,LOW,0,NONE,SIUSLAW,,,,,
Erikson Creek 4,7.7,LOW,1.3,LOW,0,NONE,SIUSLAW,,,,,
Erikson Creek 5,7.7,LOW,1.3,LOW,0,NONE,SIUSLAW,,,,,
Erikson Creek 6,7.7,LOW,1.3,LOW,0,NONE,SIUSLAW,,,,,
Erikson Creek 7,7.7,LOW,1.3,LOW,0,NONE,SIUSLAW,,,,,
Erikson Creek 8,7.7,LOW,1.3,LOW,0,NONE,SIUSLAW,,,,,
Erikson Creek 9,7.7,LOW,1.3,LOW,0,NONE,SIUSLAW,,,,,
Easy Tiger 1,1,LOW,0.5,LOW,0,NONE,SIUSLAW,,,,,
Easy Tiger 2,1,LOW,0.5,LOW,0,NONE,SIUSLAW,,,,,
Easy Tiger 3,1,LOW,0.5,LOW,0,NONE,SIUSLAW,,,,,
Easy Tiger 4,1,LOW,0.5,LOW,0,NONE,SIUSLAW,,,,,
Easy Tiger 5,1,LOW,0.5,LOW,0,NONE,SIUSLAW,,,,,
Easy Tiger 6,1,LOW,0.5,LOW,0,NONE,SIUSLAW,,,,,
Easy Tiger 7,1,LOW,0.5,LOW,0,NONE,SIUSLAW,,,,,
Easy Tiger 8,1,LOW,0.5,LOW,0,NONE,SIUSLAW,,,,,
Easy Tiger 9,1,LOW,0.5,LOW,0,NONE,SIUSLAW,,,,,
Farmer Easy 1,10,MID,2.3,MID,0,NONE,SIUSLAW,,,,,
Farmer Easy 2,10,MID,2.3,MID,0,NONE,SIUSLAW,,,,,
Farmer Easy 3,10,MID,2.3,MID,0,NONE,SIUSLAW,,,,,
Farmer Easy 4,10,MID,2.3,MID,0,NONE,SIUSLAW,,,,,
Farmer Easy 5,10,MID,2.3,MID,0,NONE,SIUSLAW,,,,,
Farmer Easy 6,10,MID,2.3,MID,0,NONE,SIUSLAW,,,,,
Farmer Easy 7,10,MID,2.3,MID,0,NONE,SIUSLAW,,,,,
Farmer Easy 8,10,MID,2.3,MID,0,NONE,SIUSLAW,,,,,
Farmer Easy 9,10,MID,2.3,MID,0,NONE,SIUSLAW,,,,,
Ferngully 1,16.3,HIGH,0,NONE,0,NONE,SIUSLAW,,,,,
Ferngully 2,16.3,HIGH,0,NONE,0,NONE,SIUSLAW,,,,,
Ferngully 3,16.3,HIGH,0,NONE,0,NONE,SIUSLAW,,,,,
Ferngully 4,16.3,HIGH,0,NONE,0,NONE,SIUSLAW,,,,,
Ferngully 5,16.3,HIGH,0,NONE,0,NONE,SIUSLAW,,,,,
Ferngully 6,16.3,HIGH,0,NONE,0,NONE,SIUSLAW,,,,,
Ferngully 7,16.3,HIGH,0,NONE,0,NONE,SIUSLAW,,,,,
Ferngully 8,16.3,HIGH,0,NONE,0,NONE,SIUSLAW,,,,,
Ferngully 9,16.3,HIGH,0,NONE,0,NONE,SIUSLAW,,,,,
Potnu 1,3.33,LOW,0,NONE,6.7,MID,TILLER,,,,,
Potnu 2,3.33,LOW,0,NONE,6.7,MID,TILLER,,,,,
Potnu 3,3.33,LOW,0,NONE,6.7,MID,TILLER,,,,,
Potnu 4,3.33,LOW,0,NONE,6.7,MID,TILLER,,,,,
Potnu 5,3.33,LOW,0,NONE,6.7,MID,TILLER,,,,,
Potnu 6,3.33,LOW,0,NONE,6.7,MID,TILLER,,,,,
