NAME,GLSA,NECI,NEFU
EASY TIGER,1,0.5,0
POTNU,3.333333333,0,6.666666667
BUZZARD CREEK,3.333333333,1,0
CLAYTON CREEK,5,0,0
THREE HORN,7.666666667,1,20.33333333
ERICKSON CREEK,7.666666667,1.333333333,0
BEEHAVE,9.3,3.333333333,0
FARMER EASY,10,2.333333333,0
CHINTIMINY,11,0.666666667,0
SCHOONER CREEK,15,0.666666667,0
SAVAGE BLUFFS,16,3.666666667,2.666666667
FERNGULLY,16.33333333,0,0
BONANZA,16.66666667,2.666666667,0.666666667
TRAIL CREEK,18,5,13
WILDCAT,18.33333333,1,0
BULL GAP,23,8,0
EAST ASHLAND CREEK,26,6,0
